linkid,Average_Daily_SeniorPopulation_Travelling,IDRoute
80263771,6000.250500999997,"[8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80263773,910.860987,[nan]
80263775,688.556088,[nan]
80263779,279.84369,[nan]
80263782,3515.708698,"[46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0]"
80263806,7995.4684499999985,"[12.0, 63.0, 83.0, 12.0, 63.0, 83.0, 12.0, 63.0, 83.0, 12.0, 63.0, 83.0, 12.0, 63.0, 83.0]"
80263813,5722.379842,"[nan, nan, nan, nan, nan, nan]"
80263824,144.471413,[nan]
80263835,908.248417,"[46.0, 46.0, 46.0]"
80263849,233.203075,[nan]
80263868,748.193199,"[nan, nan]"
80263869,905.0625170000001,"[nan, nan, nan]"
80263870,1332.993552,"[nan, nan, nan]"
80263879,1950.8328700000009,"[8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80263884,221.88516199999998,"[nan, nan]"
80263902,355.621939,[12.0]
80263904,362.878328,"[12.0, 12.0]"
80263909,448.79525,"[46.0, 46.0]"
80263911,261.606014,[12.0]
80263912,850.445894,"[12.0, 46.0, 12.0, 46.0]"
80263919,144.471413,[nan]
80263920,144.471413,[nan]
80263937,82.555093,[nan]
80263940,315.93199100000004,"[nan, nan, nan]"
80263953,523.212028,"[12.0, 46.0]"
80263959,261.606014,[46.0]
80263971,642.42426,"[nan, nan]"
80263972,697.048206,"[nan, nan]"
80263978,408.105381,[nan]
80263979,1945.686381,"[nan, nan, nan]"
80263981,243.790306,"[12.0, 30.0, 12.0, 30.0]"
80263985,809.5517,"[12.0, 12.0]"
80263986,273.972843,[12.0]
80264003,2980.368925,"[nan, nan, nan]"
80264011,954.425262,"[85.0, 86.0, 85.0, 86.0]"
80264015,1632.421524,"[8.0, 16.0, 85.0, 86.0]"
80264030,3186.834413000002,"[8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80264038,1437.051688,"[nan, nan, nan, nan, nan, nan]"
80264053,654.911969,[nan]
80264055,233.203075,[nan]
80264058,652.96861,[8.0]
80264059,1888.987826,"[16.0, 85.0, 16.0, 85.0, 16.0, 85.0]"
80264079,302.803704,"[nan, nan]"
80264188,33089.04653200001,"[8.0, 16.0, 85.0, 86.0, 8.0, 16.0, 85.0, 86.0, 8.0, 16.0, 85.0, 86.0, 8.0, 16.0, 85.0, 86.0]"
80264194,5043.777192,"[16.0, 85.0]"
80264241,36248.440192999995,"[8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80264243,1727.0717490000002,"[nan, nan, nan]"
80264245,7166.143646999999,"[8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0]"
80264246,4960.958517000002,"[8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0]"
80264247,17887.67702099999,"[8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0]"
80264248,5037.18642,"[8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0]"
80264249,4564.0312060000015,"[8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80264250,3237.636024,"[8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80264251,2213.3224499999997,"[12.0, 46.0, 12.0, 46.0, 12.0, 46.0, 12.0, 46.0]"
80264252,1705.291112,"[12.0, 46.0, 12.0, 46.0, 12.0, 46.0]"
80264277,849.955904,"[nan, nan]"
80264282,899.140537,"[nan, nan]"
80264283,10164.110624999998,"[15.0, 16.0, 62.0, 67.0, 70.0, 15.0, 16.0, 62.0, 67.0, 70.0, 15.0, 16.0, 62.0, 67.0, 70.0, 15.0, 16.0, 62.0, 67.0, 70.0]"
80264290,630.057431,[nan]
80264294,3233.790684,"[8.0, 16.0, 85.0, 86.0, 8.0, 16.0, 85.0, 86.0, 8.0, 16.0, 85.0, 86.0]"
80264295,96.314275,[nan]
80264307,10658.387502000007,"[8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0, 8.0, 12.0, 28.0, 30.0, 43.0, 46.0, 58.0, 70.0, 83.0]"
80264309,2155.983252,"[nan, nan, nan, nan, nan]"
80264310,319.629821,[nan]
80264312,982.180796,"[12.0, 46.0, 12.0, 46.0, 12.0, 46.0]"
80264314,422.79858,"[nan, nan]"
80264318,648.592865,"[nan, nan]"
80264327,326.484305,[nan]
80264328,3619.6240660000003,"[nan, nan, nan]"
80264329,3674.2225449999996,"[nan, nan]"
80264334,1247.9763400000002,"[nan, nan, nan]"
80264341,1468.456435,"[nan, nan, nan, nan]"
80264344,2309.7593589999997,"[nan, nan, nan, nan, nan, nan]"
80264357,531.626682,[nan]
80264362,3591.327354,"[nan, nan]"
80264365,908.961986,"[nan, nan, nan, nan]"
80264366,148.401957,[nan]
80264369,1747.606707,"[nan, nan, nan, nan, nan]"
80264377,1193.5622899999998,"[nan, nan, nan]"
80264380,1297.032236,"[12.0, 46.0, 12.0, 46.0]"
80264381,414.51371200000006,"[nan, nan]"
80264388,551.041813,"[nan, nan, nan, nan]"
80264390,877.526118,"[nan, nan, nan, nan, nan]"
80264415,25.580878,[nan]
80264419,268.81795999999997,"[12.0, 30.0, 12.0, 30.0]"
80264435,626.851271,"[46.0, 46.0, 46.0]"
80264442,551.291589,"[12.0, 12.0]"
80264443,666.424321,"[12.0, 12.0]"
80264444,559.807853,[12.0]
80264445,435.291707,[12.0]
80264446,104.003308,[nan]
80264447,123.644717,[nan]
80264449,20.464702,[nan]
80264451,144.27842099999998,"[nan, nan]"
80264453,23.105309,[nan]
80264454,24.698778,[nan]
80264461,2544.7077099999997,"[nan, nan, nan, nan]"
80264480,2975.705324,"[nan, nan]"
80264481,7187.150116,"[15.0, 62.0, 67.0, 70.0]"
80264489,631.130292,"[nan, nan, nan]"
80264491,1057.358779,"[nan, nan]"
80264492,241.10524499999997,"[nan, nan]"
80264493,261.606014,[nan]
80264496,2432.192336,"[8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0, 8.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80264498,96.314275,[nan]
80264503,756.931939,"[67.0, 67.0, 67.0]"
80264504,1345.240116,"[67.0, 86.0, 67.0, 86.0]"
80264506,252.636665,[86.0]
80264507,272.070254,[nan]
80264510,462.30852,"[8.0, 16.0, 85.0, 86.0]"
80264522,2957.9730929999996,"[14.0, 49.0, 70.0, 14.0, 49.0, 70.0]"
80264532,1305.93722,"[9.0, 12.0, 46.0, 82.0]"
80264535,355.621939,[12.0]
80264562,1303.947108,"[9.0, 14.0, 28.0, 43.0, 82.0, 84.0, 9.0, 14.0, 28.0, 43.0, 82.0, 84.0]"
80264563,627.854435,"[9.0, 28.0, 43.0, 82.0, 84.0]"
80264574,125.570887,[nan]
80264581,355.62194,"[9.0, 30.0, 58.0, 86.0]"
80264587,1508.5614880000003,"[12.0, 63.0, 83.0, 86.0, 12.0, 63.0, 83.0, 86.0]"
80264589,728.7596090000001,"[nan, nan, nan]"
80264592,375.625673,"[nan, nan]"
80264598,1288.446989,"[nan, nan, nan]"
80264599,37673.18775900001,"[6.0, 37.0, 49.0, 52.0, 53.0, 63.0, 67.0, 74.0, 84.0, 6.0, 37.0, 49.0, 52.0, 53.0, 63.0, 67.0, 74.0, 84.0, 6.0, 37.0, 49.0, 52.0, 53.0, 63.0, 67.0, 74.0, 84.0, 6.0, 37.0, 49.0, 52.0, 53.0, 63.0, 67.0, 74.0, 84.0, 6.0, 37.0, 49.0, 52.0, 53.0, 63.0, 67.0, 74.0, 84.0, 6.0, 37.0, 49.0, 52.0, 53.0, 63.0, 67.0, 74.0, 84.0, 6.0, 37.0, 49.0, 52.0, 53.0, 63.0, 67.0, 74.0, 84.0]"
80264609,7653.174167999999,"[49.0, 63.0, 84.0, 49.0, 63.0, 84.0, 49.0, 63.0, 84.0, 49.0, 63.0, 84.0, 49.0, 63.0, 84.0]"
80264611,2067.6284760000003,"[49.0, 63.0, 84.0, 49.0, 63.0, 84.0, 49.0, 63.0, 84.0]"
80264612,6039.462335999999,"[49.0, 63.0, 84.0, 49.0, 63.0, 84.0, 49.0, 63.0, 84.0, 49.0, 63.0, 84.0, 49.0, 63.0, 84.0]"
80264614,816.210762,[nan]
80264618,3245.7065740000003,"[12.0, 46.0, 12.0, 46.0, 12.0, 46.0, 12.0, 46.0, 12.0, 46.0, 12.0, 46.0]"
80264624,128.419033,[nan]
80264626,667.671735,"[nan, nan, nan, nan]"
80264634,686.2899199999999,"[nan, nan, nan, nan, nan]"
80264636,136.035127,[nan]
80264643,29788.704880000005,"[19.0, 20.0, 60.0, 74.0, 81.0, 19.0, 20.0, 60.0, 74.0, 81.0, 19.0, 20.0, 60.0, 74.0, 81.0]"
80264649,319.862535,"[40.0, 40.0]"
80264650,148.401957,[nan]
80264654,1765.136199,[nan]
80264655,6033.284741,"[nan, nan]"
80264656,1991.267969,[nan]
80264663,1119.165176,"[12.0, 12.0]"
80265040,659.091659,"[nan, nan, nan, nan]"
80265042,987.226351,[nan]
80266131,1116.890873,"[nan, nan, nan, nan]"
80267128,185.21976,[nan]
80267166,72.235706,[nan]
80267227,154.790799,[nan]
80267241,198.132223,"[nan, nan]"
80267548,643.732515,"[nan, nan, nan, nan]"
80267840,1176.123023,"[nan, nan]"
80267872,82.555093,[nan]
80267905,3242.0470670000004,"[nan, nan, nan, nan]"
80267924,115.57713,[nan]
80267942,144.471413,[nan]
80267960,144.471413,[nan]
80267978,115.57713,[nan]
80267996,82.555093,[nan]
80268018,82.555093,[nan]
80268025,105.070118,[nan]
80268091,28.61151,[nan]
80268115,533.986162,"[nan, nan, nan]"
80268124,282.881088,"[nan, nan]"
80268155,193.97560299999998,"[nan, nan]"
80268178,293.3881,"[nan, nan, nan]"
80268224,136.035127,[nan]
80268241,292.882955,[nan]
80268242,886.40885,[nan]
80268243,563.568404,"[nan, nan, nan]"
80268255,1225.247706,"[nan, nan, nan, nan, nan]"
80268260,869.132839,"[nan, nan, nan]"
80268268,469.656844,"[nan, nan, nan, nan]"
80268270,940.2995,"[nan, nan, nan, nan, nan, nan]"
80268286,546.717848,"[nan, nan, nan]"
80268287,1010.674873,"[nan, nan, nan, nan]"
80268292,1276.4918209999998,"[nan, nan, nan, nan, nan, nan]"
80268352,128.419033,[nan]
80268420,128.419033,[nan]
80268593,188.837244,[nan]
80268596,937.013702,"[nan, nan, nan]"
80268691,625.167203,[nan]
80268692,105.070118,[nan]
80268693,105.070118,[nan]
80268696,144.471413,[nan]
80268805,425.595351,"[nan, nan, nan]"
80268806,272.890446,"[nan, nan]"
80268808,2702.7508660000003,"[nan, nan, nan, nan, nan, nan, nan, nan]"
80268813,341.50558,"[nan, nan, nan]"
80268891,623.253873,"[nan, nan, nan]"
80268900,369.204721,"[nan, nan]"
80268902,815.707822,[nan]
80268903,88.905485,[nan]
80268905,394.012943,[nan]
80268907,96.314275,[nan]
80268911,77.05142,[nan]
80268913,487.363702,[nan]
80268914,230.95705,"[nan, nan]"
80268915,185.21976,[nan]
80268917,1021.6812150000001,"[nan, nan, nan]"
80268925,128.419033,[nan]
80268929,96.314275,[nan]
80268930,586.641493,[nan]
80268939,428.908497,"[nan, nan]"
80268940,251.612257,"[nan, nan]"
80268952,144.471413,[nan]
80268955,144.471413,[nan]
80268962,96.314275,[nan]
80268978,128.419033,[nan]
80269000,1049.08627,"[nan, nan, nan, nan]"
80269008,303.202341,[nan]
80269013,1584.1106410000002,"[nan, nan, nan, nan]"
80269014,243.99616300000002,"[nan, nan]"
80269016,1923.1073470000001,"[nan, nan, nan, nan]"
80269017,144.471413,[nan]
80269020,220.647248,[nan]
80269022,357.738736,"[nan, nan]"
80269024,1249.8397650000002,"[nan, nan, nan, nan]"
80269025,96.314275,[nan]
80269026,429.21592300000003,"[nan, nan]"
80269029,88.905485,[nan]
80269041,996.11603,"[nan, nan, nan, nan]"
80269045,1492.324017,"[nan, nan, nan, nan]"
80269046,1973.8391809999998,"[nan, nan, nan]"
80269055,128.419033,[nan]
80269057,115.57713,[nan]
80269058,115.57713,[nan]
80269059,1882.6679,"[nan, nan]"
80269062,3061.578474,"[nan, nan, nan, nan]"
80269066,725.109676,"[nan, nan]"
80269067,116.601537,[nan]
80269069,853.370596,"[nan, nan]"
80269070,853.370596,"[nan, nan]"
80269071,757.0563209999999,"[nan, nan]"
80269073,527.67247,"[nan, nan, nan]"
80269074,221.88516199999998,"[nan, nan]"
80269075,562.751326,[nan]
80269092,2829.603789,[nan]
80269098,272.070254,[nan]
80269108,644.6409699999999,"[nan, nan, nan]"
80269238,357.738736,"[nan, nan]"
80269241,233.203075,[nan]
80269252,974.449426,"[nan, nan, nan]"
80269257,193.975603,[nan]
80269272,217.324518,[nan]
80269290,105.070118,[nan]
80269318,272.070254,[nan]
80269330,1319.900385,"[nan, nan, nan]"
80269332,115.57713,[nan]
80269333,115.57713,[nan]
80269343,128.419033,[nan]
80269346,272.070254,[nan]
80269349,272.070254,[nan]
80269358,272.070254,[nan]
80269369,96.314275,[nan]
80269375,260.048543,"[nan, nan]"
80269376,630.600316,"[nan, nan, nan, nan]"
80269464,82.555093,[nan]
80269500,1007.175262,"[nan, nan]"
80269521,96.314275,[nan]
80269539,441.294496,"[nan, nan]"
80269573,326.484305,[nan]
80269724,165.110186,[nan]
80269760,128.419033,[nan]
80269876,128.419033,[nan]
80269915,128.419033,[nan]
80269924,128.419033,[nan]
80269950,128.419033,[nan]
80269969,28.650583,[nan]
80269983,233.203075,[nan]
80269988,82.555093,[nan]
80269992,105.070118,[nan]
80270016,26.82329,[nan]
80270030,197.733587,"[nan, nan]"
80270034,82.555093,[nan]
80270037,758.641123,"[nan, nan, nan]"
80270051,115.57713,[nan]
80270052,105.070118,[nan]
80270068,185.21976,[nan]
80270081,115.57713,[nan]
80270083,115.57713,[nan]
80270110,115.57713,[nan]
80270118,115.57713,[nan]
80270124,128.419033,[nan]
80270132,105.070118,[nan]
80270134,299.879611,[nan]
80270140,115.57713,[nan]
80270143,165.110186,[nan]
80270164,105.070118,[nan]
80270165,233.203075,[nan]
80270168,128.419033,[nan]
80270182,144.471413,[nan]
80270184,316.151485,"[nan, nan, nan]"
80270198,96.314275,[nan]
80270199,88.905485,[nan]
80270222,149.15837299999998,"[nan, nan]"
80270224,105.070118,[nan]
80270233,165.110186,[nan]
80270247,233.203075,[nan]
80270254,371.497918,"[nan, nan]"
80270258,128.419033,[nan]
80270265,340.310438,[nan]
80270269,294.446498,[nan]
80270279,165.110186,[nan]
80270295,165.110186,[nan]
80270298,165.110186,[nan]
80270299,742.0079969999999,"[nan, nan]"
80270304,82.555093,[nan]
80270306,326.551256,[nan]
80270310,23.875486,[nan]
80270311,108.828102,[nan]
80270354,816.210762,[nan]
80270356,115.57713,[nan]
80270372,243.996163,[nan]
80270379,82.555093,[nan]
80270396,233.203075,[nan]
80270412,105.070118,[nan]
80270415,210.140236,"[nan, nan]"
80270416,96.314275,[nan]
80270428,21.704987,[nan]
80270437,128.419033,[nan]
80270456,570.883954,"[nan, nan, nan, nan]"
80270470,283.939486,"[nan, nan]"
80270491,165.110186,[nan]
80270502,23.875486,[nan]
80270503,840.0862480000001,"[nan, nan]"
80270505,22.383268,[nan]
80270507,210.140236,"[nan, nan]"
80270524,254.01567,[nan]
80270529,128.419033,[nan]
80270535,466.40615,[nan]
80270541,326.484305,[nan]
80270549,415.456741,[nan]
80270554,192.62855,"[nan, nan]"
80270556,105.070118,[nan]
80270559,128.419033,[nan]
80270565,88.905485,[nan]
80270567,249.541531,[nan]
80270574,88.905485,[nan]
80270575,88.905485,[nan]
80270579,225.757678,"[nan, nan]"
80270592,476.122945,[nan]
80270605,204.052691,[nan]
80270608,369.63151899999997,"[nan, nan]"
80270623,1369.82174,"[nan, nan, nan]"
80270633,108.828102,[nan]
80270638,105.070118,[nan]
80270656,96.314275,[nan]
80270667,204.052691,[nan]
80270688,21.704987,[nan]
80270702,233.203075,[nan]
80270716,21.704987,[nan]
80270719,88.905485,[nan]
80270721,115.57713,[nan]
80270730,237.345892,[nan]
80270732,47.750972,[nan]
80270744,408.105381,[nan]
80270762,470.95571800000005,"[nan, nan]"
80270772,497.82793200000003,"[nan, nan]"
80270775,115.57713,[nan]
80270794,1096.080747,"[nan, nan, nan]"
80270796,425.425459,[nan]
80270829,204.052691,[nan]
80270838,1187.473439,"[nan, nan, nan]"
80270842,233.203075,[nan]
80270843,220.647248,"[nan, nan]"
80270845,23.875486,[nan]
80270861,1684.339313,"[nan, nan, nan]"
80270864,88.905485,[nan]
80270867,88.905485,[nan]
80270869,144.471413,[nan]
80270893,165.110186,[nan]
80270894,88.905485,[nan]
80270896,144.471413,[nan]
80270898,144.471413,[nan]
80270899,165.110186,[nan]
80270901,205.507022,"[nan, nan]"
80270906,128.419033,[nan]
80270907,88.905485,[nan]
80270912,305.61260400000003,"[nan, nan]"
80270919,128.419033,[nan]
80270927,144.471413,[nan]
80270930,466.40615,"[nan, nan]"
80270941,361.622108,[nan]
80270948,105.070118,[nan]
80270953,115.57713,[nan]
80270958,23.875486,[nan]
80270969,369.238202,"[nan, nan]"
80270972,108.828102,[nan]
80270973,115.57713,[nan]
80270975,144.471413,[nan]
80270984,221.522833,[nan]
80270991,21.704987,[nan]
80270992,233.203075,[nan]
80270994,115.57713,[nan]
80271000,88.905485,[nan]
80271001,165.110186,[nan]
80271009,326.484305,[nan]
80271018,72.235706,[nan]
80271047,178.869368,"[nan, nan]"
80271051,82.555093,[nan]
80271052,82.555093,[nan]
80271066,105.070118,[nan]
80271067,88.905485,[nan]
80271085,181.380169,[nan]
80271114,82.555093,[nan]
80271118,326.551256,[nan]
80271120,128.419033,[nan]
80271123,105.070118,[nan]
80271124,242.593392,"[nan, nan]"
80271150,82.555093,[nan]
80271163,492.22721,"[nan, nan]"
80271180,1208.5542730000002,"[nan, nan, nan]"
80271181,82.555093,[nan]
80271188,144.471413,[nan]
80271189,105.070118,[nan]
80271195,128.419033,[nan]
80271198,23.105309,[nan]
80271208,82.555093,[nan]
80271216,115.57713,[nan]
80271229,105.070118,[nan]
80271252,88.905485,[nan]
80271254,128.419033,[nan]
80271255,253.299515,"[nan, nan]"
80271256,144.471413,[nan]
80271270,115.57713,[nan]
80271275,669.864357,"[nan, nan, nan]"
80271283,96.314275,[nan]
80271288,115.57713,[nan]
80271297,115.57713,[nan]
80271299,243.996163,[nan]
80271307,115.57713,[nan]
80271322,431.335298,"[nan, nan, nan]"
80271323,191.383195,"[nan, nan]"
80271329,82.555093,[nan]
80271338,96.314275,[nan]
80271340,198.132223,[nan]
80271347,224.405232,"[nan, nan]"
80271351,445.562025,"[nan, nan]"
80271361,409.106349,"[nan, nan]"
80271362,280.687316,"[nan, nan]"
80271393,136.035127,[nan]
80271398,22.383268,[nan]
80271409,314.587942,[nan]
80271414,579.058881,"[nan, nan, nan]"
80271439,165.110186,[nan]
80271446,99.20842,[nan]
80271447,23.875486,[nan]
80271454,50.35557,[nan]
80271484,23.875486,[nan]
80271496,82.555093,[nan]
80271509,31.141938,[nan]
80271515,191.685929,"[nan, nan, nan]"
80271520,21.704987,[nan]
80271521,105.070118,[nan]
80271538,21.704987,[nan]
80271551,165.110186,[nan]
80271553,147.565032,"[nan, nan]"
80271562,488.11113700000004,"[nan, nan, nan]"
80271577,96.314275,[nan]
80271584,224.733308,[nan]
80271585,138.682439,"[nan, nan]"
80271595,233.203075,[nan]
80271613,519.653362,"[nan, nan, nan]"
80271626,2769.3802,"[nan, nan, nan, nan]"
80271628,249.541531,[nan]
80271631,932.565974,"[nan, nan]"
80271636,26.82329,[nan]
80271637,177.938988,"[nan, nan, nan]"
80271647,98.530139,[nan]
80271678,165.110186,[nan]
80271689,664.5684990000001,"[9.0, 40.0, 46.0, 9.0, 40.0, 46.0]"
80271696,359.085789,[nan]
80271715,1921.3643479999998,"[9.0, 40.0, 46.0, 84.0, 9.0, 40.0, 46.0, 84.0]"
80271728,593.607828,"[9.0, 40.0, 46.0, 84.0]"
80271758,181.380169,[nan]
80271790,96.314275,[nan]
80271818,105.070118,[nan]
80271826,605.904348,"[nan, nan]"
80271839,177.810969,[nan]
80271872,549.593964,[nan]
80271881,116.601537,[nan]
80271889,192.62855,"[nan, nan]"
80271934,788.546767,"[nan, nan]"
80271951,926.244044,[nan]
80271955,691.0473910000001,"[nan, nan, nan]"
80271964,422.214141,"[nan, nan, nan]"
80272004,82.555093,[nan]
80272005,115.57713,[nan]
80272023,125.570887,[nan]
80272024,489.59756500000003,"[nan, nan]"
80272027,77.05142,[nan]
80272042,347.242542,"[nan, nan]"
80272046,1836.709697,"[nan, nan, nan, nan]"
80272105,115.57713,[nan]
80272121,108.828102,[nan]
80272131,108.828102,[nan]
80272138,144.471413,[nan]
80272142,530.96692,"[nan, nan]"
80272166,181.380169,[nan]
80272167,128.419033,[nan]
80272193,144.471413,[nan]
80272237,559.861203,"[nan, nan]"
80272238,260.048543,"[nan, nan]"
80272244,555.771534,"[nan, nan, nan]"
80272270,231.15426,"[nan, nan]"
80272278,3178.8152830000004,"[nan, nan, nan, nan]"
80272308,88.905485,[nan]
80272311,88.905485,[nan]
80272312,105.070118,[nan]
80272320,88.905485,[nan]
80272354,82.555093,[nan]
80272368,535.862109,"[nan, nan]"
80272369,568.033275,"[nan, nan, nan]"
80272370,233.203075,[nan]
80272371,82.555093,[nan]
80272373,178.869368,"[nan, nan]"
80272374,105.070118,[nan]
80272376,177.810969,[nan]
80272377,82.555093,[nan]
80272379,108.828102,[nan]
80272383,233.203075,[nan]
80272389,82.555093,[nan]
80272398,137.282117,"[nan, nan]"
80272415,227.715247,[nan]
80272424,251.590733,"[nan, nan]"
80272476,120.189761,[nan]
80272484,1777.071433,"[nan, nan]"
80272488,2299.503716,"[nan, nan]"
80272493,233.203075,[nan]
80272494,678.786319,[nan]
80272495,1052.181412,"[nan, nan]"
80272497,547.120825,"[nan, nan, nan]"
80272501,3077.2037360000004,"[nan, nan, nan]"
80272502,390.050797,[nan]
80272503,262.529627,[nan]
80272505,2163.981825,"[nan, nan, nan, nan]"
80272506,105.070118,[nan]
80272511,934.7904960000001,"[nan, nan]"
80272515,102.026345,[nan]
80272519,343.48735,[nan]
80272526,593.778599,[nan]
80272531,237.24713500000001,"[nan, nan]"
80272544,613.247758,[nan]
80272546,144.471413,[nan]
80272553,72.235706,[nan]
80272554,187.812836,"[nan, nan]"
80272562,88.905485,[nan]
80272569,105.070118,[nan]
80272572,165.110186,[nan]
80272585,233.203075,[nan]
80272591,408.105381,[nan]
80272594,940.5204509999999,"[nan, nan, nan]"
80272596,96.314275,[nan]
80272601,264.139968,"[nan, nan, nan]"
80272603,360.76843499999995,"[nan, nan]"
80272609,233.203075,[nan]
80272614,450.939622,"[nan, nan, nan]"
80272621,368.384529,"[nan, nan]"
80272629,272.070254,[nan]
80272642,105.070118,[nan]
80272657,105.070118,[nan]
